time,lat,lng
08/29/13 10:24:30,"37.7759832336,37.7809079964","-122.409348484,-122.415974855"
08/29/13 10:24:40,"37.7760847751,37.7810603087","-122.40948511,-122.416179794"
08/29/13 10:24:50,"37.7761863166,37.7813649332","-122.409621736,-122.416589672"
08/29/13 10:25:00,"37.7762878581,37.7816695577","-122.409758362,-122.416999551"
08/29/13 10:25:10,"37.7763893996,37.78193357","-122.409894989,-122.402481145"
08/29/13 10:25:20,"37.7764909411,37.7821975823","-122.410031615,-122.387962739"
08/29/13 10:25:30,"37.7765924826,37.7825976645","-122.410168241,-122.387789578"
08/29/13 10:25:40,"37.7766940241,37.7829977468","-122.410304867,-122.387616417"
08/29/13 10:25:50,"37.7767955656,37.7831977879","-122.410441493,-122.387529836"
08/29/13 10:26:00,"37.7769478778,37.783397829","-122.410646432,-122.387443256"
08/29/13 10:26:10,"37.7771001901,37.7837979113","-122.410851372,-122.387270095"
08/29/13 10:26:20,"37.7772017316,37.7839979524","-122.410987998,-122.387183515"
08/29/13 10:26:30,"37.7773032731,37.7841979935","-122.411124625,-122.387096934"
08/29/13 10:26:40,"37.7774048146,37.7845980758","-122.411261251,-122.386923773"
08/29/13 10:26:50,"37.7775063561,37.784998158","-122.411397877,-122.386750612"
08/29/13 10:27:00,"37.7776078976,37.7851981992","-122.411534503,-122.386664032"
08/29/13 10:27:10,"37.7777094391,37.7853982403","-122.411671129,-122.386577451"
08/29/13 10:27:20,"37.7778109806,37.7857983226","-122.411807755,-122.38640429"
08/29/13 10:27:30,"37.7779125221,37.7861984048","-122.411944382,-122.386231129"
08/29/13 10:27:40,"37.7780140636,37.7863984459","-122.412081008,-122.386144548"
08/29/13 10:27:50,"37.7781663758,37.7865984871","-122.412285947,-122.386057968"
08/29/13 10:28:00,"37.7783186881,37.7869985693","-122.412490886,-122.385884807"
08/29/13 10:28:10,"37.7784202296,37.7871986105","-122.412627512,-122.385798227"
08/29/13 10:28:20,"37.7785217711,37.7873986516","-122.412764139,-122.385711646"
08/29/13 10:28:30,"37.7786233126,37.7877987338","-122.412900765,-122.385538485"
08/29/13 10:28:40,"37.7787248541,37.7881988161","-122.413037391,-122.385365324"
08/29/13 10:28:50,"37.7788263957,37.7883988573","-122.413174018,-122.385278744"
08/29/13 10:29:00,"37.7789279372,37.7885988984","-122.413310644,-122.385192163"
08/29/13 10:29:10,"37.7790294787,37.7889989806","-122.41344727,-122.385019002"
08/29/13 10:29:20,"37.7791310202,37.7891990218","-122.413583896,-122.384932421"
08/29/13 10:29:30,"37.7792325617,37.7893990629","-122.413720522,-122.384845841"
08/29/13 10:29:40,"37.779384874,37.7897991451","-122.413925461,-122.38467268"
08/29/13 10:29:50,"37.7795371862,37.7901992274","-122.414130401,-122.384499519"
08/29/13 10:30:00,"37.7796387277,37.7903992685","-122.414267027,-122.384412938"
08/29/13 10:30:10,"37.7797402692,37.7905993096","-122.414403653,-122.384326358"
08/29/13 10:30:20,"37.7798418107,37.7909993919","-122.414540279,-122.384153197"
08/29/13 10:30:30,"37.7799433522,37.7913994741","-122.414676905,-122.383980036"
08/29/13 10:30:40,"37.7800448937,37.7915995152","-122.414813532,-122.383893456"
08/29/13 10:30:50,"37.7801464352,37.7917995564","-122.414950158,-122.383806875"
08/29/13 10:31:00,"37.7802479767,37.7921996387","-122.415086784,-122.383633714"
08/29/13 10:31:10,"37.7803495182,37.7923996798","-122.415223411,-122.383547134"
08/29/13 10:31:20,"37.7804510597,37.7925997209","-122.415360037,-122.383460553"
08/29/13 10:31:30,"37.7805526012,37.7929998032","-122.415496663,-122.383287392"
08/29/13 10:31:40,"37.7806541427,37.7933998854","-122.415633289,-122.383114231"
08/29/13 10:31:50,"37.7807556842,37.7935999266","-122.415769915,-122.38302765"
08/29/13 10:32:00,"37.7809079964,37.7937999677","-122.415974855,-122.38294107"
08/29/13 10:32:10,"37.7810603087,37.7942000499","-122.416179794,-122.382767909"
08/29/13 10:32:20,"37.7811618502,37.7946001322","-122.41631642,-122.382594748"
08/29/13 10:32:30,"37.7812633917,37.7948001733","-122.416453046,-122.382508167"
08/29/13 10:32:40,"37.7813649332,37.7950002145","-122.416589672,-122.382421587"
08/29/13 10:32:50,"37.7814664747,37.7954002967","-122.416726298,-122.382248426"
08/29/13 10:33:00,"37.7815680162,37.7954082983","-122.416862925,-122.388139363"
08/29/13 10:33:10,"37.7816695577,37.7954163","-122.416999551,-122.3940303"
08/29/13 10:33:20,37.7818455659,-122.407320614
08/29/13 10:33:30,37.7820215741,-122.397641676
08/29/13 10:33:40,37.7821975823,-122.387962739
08/29/13 10:33:50,37.7823976234,-122.387876159
08/29/13 10:34:00,37.7825976645,-122.387789578
08/29/13 10:34:10,37.7827310253,-122.387731858
08/29/13 10:34:20,37.782864386,-122.387674137
08/29/13 10:34:30,37.7829977468,-122.387616417
08/29/13 10:34:40,37.7831311075,-122.387558697
08/29/13 10:34:50,37.7832644683,-122.387500976
08/29/13 10:35:00,37.783397829,-122.387443256
08/29/13 10:35:10,37.7835311898,-122.387385536
08/29/13 10:35:20,37.7836645505,-122.387327815
08/29/13 10:35:30,37.7837979113,-122.387270095
08/29/13 10:35:40,37.7839979524,-122.387183515
08/29/13 10:35:50,37.7841979935,-122.387096934
08/29/13 10:36:00,37.7843313543,-122.387039214
08/29/13 10:36:10,37.784464715,-122.386981493
08/29/13 10:36:20,37.7845980758,-122.386923773
08/29/13 10:36:30,37.7847314365,-122.386866053
08/29/13 10:36:40,37.7848647973,-122.386808332
08/29/13 10:36:50,37.784998158,-122.386750612
08/29/13 10:37:00,37.7851315188,-122.386692892
08/29/13 10:37:10,37.7852648795,-122.386635171
08/29/13 10:37:20,37.7853982403,-122.386577451
08/29/13 10:37:30,37.7855316011,-122.386519731
08/29/13 10:37:40,37.7856649618,-122.38646201
08/29/13 10:37:50,37.7857983226,-122.38640429
08/29/13 10:38:00,37.7859983637,-122.386317709
08/29/13 10:38:10,37.7861984048,-122.386231129
08/29/13 10:38:20,37.7863317656,-122.386173409
08/29/13 10:38:30,37.7864651263,-122.386115688
08/29/13 10:38:40,37.7865984871,-122.386057968
08/29/13 10:38:50,37.7867318478,-122.386000248
