tripID,startTime,duration,startStationId,endStationId,mileStoneTimes
4656,8/29/13 15:29,1306,50,70,"['08/29/13 15:29:00', '08/29/13 15:29:20', '08/29/13 15:29:50', '08/29/13 15:30:10', '08/29/13 15:30:30', '08/29/13 15:30:50', '08/29/13 15:31:20', '08/29/13 15:31:40', '08/29/13 15:32:00', '08/29/13 15:32:30', '08/29/13 15:32:50', '08/29/13 15:33:10', '08/29/13 15:33:30', '08/29/13 15:34:00', '08/29/13 15:34:20', '08/29/13 15:34:40', '08/29/13 15:35:10', '08/29/13 15:35:30', '08/29/13 15:35:50', '08/29/13 15:36:20', '08/29/13 15:36:40', '08/29/13 15:37:00', '08/29/13 15:37:20', '08/29/13 15:37:50', '08/29/13 15:38:10', '08/29/13 15:38:30', '08/29/13 15:39:00', '08/29/13 15:39:20', '08/29/13 15:39:40', '08/29/13 15:40:00', '08/29/13 15:40:30', '08/29/13 15:40:50', '08/29/13 15:41:10', '08/29/13 15:41:40', '08/29/13 15:42:00', '08/29/13 15:42:20', '08/29/13 15:42:40', '08/29/13 15:43:10', '08/29/13 15:43:30', '08/29/13 15:43:50', '08/29/13 15:44:20', '08/29/13 15:44:40', '08/29/13 15:45:00', '08/29/13 15:45:30', '08/29/13 15:45:50', '08/29/13 15:46:10', '08/29/13 15:46:30', '08/29/13 15:47:00', '08/29/13 15:47:20', '08/29/13 15:47:40', '08/29/13 15:48:10', '08/29/13 15:48:30', '08/29/13 15:48:50', '08/29/13 15:49:10', '08/29/13 15:49:40', '08/29/13 15:50:00', '08/29/13 15:50:20']"
4653,8/29/13 15:29,1349,50,70,"['08/29/13 15:29:00', '08/29/13 15:29:20', '08/29/13 15:29:50', '08/29/13 15:30:10', '08/29/13 15:30:30', '08/29/13 15:31:00', '08/29/13 15:31:20', '08/29/13 15:31:50', '08/29/13 15:32:10', '08/29/13 15:32:30', '08/29/13 15:33:00', '08/29/13 15:33:20', '08/29/13 15:33:40', '08/29/13 15:34:10', '08/29/13 15:34:30', '08/29/13 15:35:00', '08/29/13 15:35:20', '08/29/13 15:35:40', '08/29/13 15:36:10', '08/29/13 15:36:30', '08/29/13 15:36:50', '08/29/13 15:37:20', '08/29/13 15:37:40', '08/29/13 15:38:00', '08/29/13 15:38:30', '08/29/13 15:38:50', '08/29/13 15:39:20', '08/29/13 15:39:40', '08/29/13 15:40:00', '08/29/13 15:40:30', '08/29/13 15:40:50', '08/29/13 15:41:10', '08/29/13 15:41:40', '08/29/13 15:42:00', '08/29/13 15:42:20', '08/29/13 15:42:50', '08/29/13 15:43:10', '08/29/13 15:43:40', '08/29/13 15:44:00', '08/29/13 15:44:20', '08/29/13 15:44:50', '08/29/13 15:45:10', '08/29/13 15:45:30', '08/29/13 15:46:00', '08/29/13 15:46:20', '08/29/13 15:46:50', '08/29/13 15:47:10', '08/29/13 15:47:30', '08/29/13 15:48:00', '08/29/13 15:48:20', '08/29/13 15:48:40', '08/29/13 15:49:10', '08/29/13 15:49:30', '08/29/13 15:49:50', '08/29/13 15:50:20', '08/29/13 15:50:40', '08/29/13 15:51:10']"
4661,8/29/13 15:33,563,60,74,"['08/29/13 15:33:00', '08/29/13 15:33:20', '08/29/13 15:33:40', '08/29/13 15:33:50', '08/29/13 15:34:10', '08/29/13 15:34:30', '08/29/13 15:34:50', '08/29/13 15:35:10', '08/29/13 15:35:30', '08/29/13 15:35:40', '08/29/13 15:36:00', '08/29/13 15:36:20', '08/29/13 15:36:40', '08/29/13 15:37:00', '08/29/13 15:37:10', '08/29/13 15:37:30', '08/29/13 15:37:50', '08/29/13 15:38:10', '08/29/13 15:38:30', '08/29/13 15:38:50', '08/29/13 15:39:00', '08/29/13 15:39:20', '08/29/13 15:39:40', '08/29/13 15:40:00', '08/29/13 15:40:20', '08/29/13 15:40:30', '08/29/13 15:40:50', '08/29/13 15:41:10', '08/29/13 15:41:30', '08/29/13 15:41:50', '08/29/13 15:42:00']"
4666,8/29/13 15:36,475,60,50,"['08/29/13 15:36:00', '08/29/13 15:36:20', '08/29/13 15:36:30', '08/29/13 15:36:50', '08/29/13 15:37:00', '08/29/13 15:37:20', '08/29/13 15:37:40', '08/29/13 15:37:50', '08/29/13 15:38:10', '08/29/13 15:38:20', '08/29/13 15:38:40', '08/29/13 15:38:50', '08/29/13 15:39:10', '08/29/13 15:39:30', '08/29/13 15:39:40', '08/29/13 15:40:00', '08/29/13 15:40:10', '08/29/13 15:40:30', '08/29/13 15:40:50', '08/29/13 15:41:00', '08/29/13 15:41:20', '08/29/13 15:41:30', '08/29/13 15:41:50', '08/29/13 15:42:00', '08/29/13 15:42:20', '08/29/13 15:42:40', '08/29/13 15:42:50', '08/29/13 15:43:10', '08/29/13 15:43:20', '08/29/13 15:43:40']"
4668,8/29/13 15:39,243,69,65,"['08/29/13 15:39:00', '08/29/13 15:39:10', '08/29/13 15:39:30', '08/29/13 15:39:40', '08/29/13 15:39:50', '08/29/13 15:40:10', '08/29/13 15:40:20', '08/29/13 15:40:30', '08/29/13 15:40:50', '08/29/13 15:41:00', '08/29/13 15:41:20', '08/29/13 15:41:30', '08/29/13 15:41:40', '08/29/13 15:42:00', '08/29/13 15:42:10', '08/29/13 15:42:20', '08/29/13 15:42:40', '08/29/13 15:42:50']"
4667,8/29/13 15:39,244,69,65,"['08/29/13 15:39:00', '08/29/13 15:39:10', '08/29/13 15:39:30', '08/29/13 15:39:40', '08/29/13 15:39:50', '08/29/13 15:40:10', '08/29/13 15:40:20', '08/29/13 15:40:30', '08/29/13 15:40:50', '08/29/13 15:41:00', '08/29/13 15:41:20', '08/29/13 15:41:30', '08/29/13 15:41:40', '08/29/13 15:42:00', '08/29/13 15:42:10', '08/29/13 15:42:20', '08/29/13 15:42:40', '08/29/13 15:42:50']"
4672,8/29/13 15:44,1251,50,70,"['08/29/13 15:44:00', '08/29/13 15:44:20', '08/29/13 15:44:40', '08/29/13 15:45:10', '08/29/13 15:45:30', '08/29/13 15:45:50', '08/29/13 15:46:10', '08/29/13 15:46:30', '08/29/13 15:47:00', '08/29/13 15:47:20', '08/29/13 15:47:40', '08/29/13 15:48:00', '08/29/13 15:48:20', '08/29/13 15:48:50', '08/29/13 15:49:10', '08/29/13 15:49:30', '08/29/13 15:49:50', '08/29/13 15:50:10', '08/29/13 15:50:40', '08/29/13 15:51:00', '08/29/13 15:51:20', '08/29/13 15:51:40', '08/29/13 15:52:00', '08/29/13 15:52:20', '08/29/13 15:52:50', '08/29/13 15:53:10', '08/29/13 15:53:30', '08/29/13 15:53:50', '08/29/13 15:54:10', '08/29/13 15:54:40', '08/29/13 15:55:00', '08/29/13 15:55:20', '08/29/13 15:55:40', '08/29/13 15:56:00', '08/29/13 15:56:30', '08/29/13 15:56:50', '08/29/13 15:57:10', '08/29/13 15:57:30', '08/29/13 15:57:50', '08/29/13 15:58:20', '08/29/13 15:58:40', '08/29/13 15:59:00', '08/29/13 15:59:20', '08/29/13 15:59:40', '08/29/13 16:00:10', '08/29/13 16:00:30', '08/29/13 16:00:50', '08/29/13 16:01:10', '08/29/13 16:01:30', '08/29/13 16:02:00', '08/29/13 16:02:20', '08/29/13 16:02:40', '08/29/13 16:03:00', '08/29/13 16:03:20', '08/29/13 16:03:50', '08/29/13 16:04:10', '08/29/13 16:04:30']"
4673,8/29/13 15:48,239,70,65,"['08/29/13 15:48:00', '08/29/13 15:48:10', '08/29/13 15:48:20', '08/29/13 15:48:40', '08/29/13 15:48:50', '08/29/13 15:49:00', '08/29/13 15:49:10', '08/29/13 15:49:20', '08/29/13 15:49:40', '08/29/13 15:49:50', '08/29/13 15:50:00', '08/29/13 15:50:10', '08/29/13 15:50:20', '08/29/13 15:50:40', '08/29/13 15:50:50', '08/29/13 15:51:00', '08/29/13 15:51:10', '08/29/13 15:51:20', '08/29/13 15:51:40', '08/29/13 15:51:50']"
4689,8/29/13 16:01,436,60,50,"['08/29/13 16:01:00', '08/29/13 16:01:10', '08/29/13 16:01:30', '08/29/13 16:01:40', '08/29/13 16:02:00', '08/29/13 16:02:10', '08/29/13 16:02:30', '08/29/13 16:02:40', '08/29/13 16:03:00', '08/29/13 16:03:10', '08/29/13 16:03:30', '08/29/13 16:03:40', '08/29/13 16:03:50', '08/29/13 16:04:10', '08/29/13 16:04:20', '08/29/13 16:04:40', '08/29/13 16:04:50', '08/29/13 16:05:10', '08/29/13 16:05:20', '08/29/13 16:05:40', '08/29/13 16:05:50', '08/29/13 16:06:10', '08/29/13 16:06:20', '08/29/13 16:06:30', '08/29/13 16:06:50', '08/29/13 16:07:00', '08/29/13 16:07:20', '08/29/13 16:07:30', '08/29/13 16:07:50', '08/29/13 16:08:00']"
4691,8/29/13 16:01,553,65,70,"['08/29/13 16:01:00', '08/29/13 16:01:30', '08/29/13 16:02:00', '08/29/13 16:02:20', '08/29/13 16:02:50', '08/29/13 16:03:20', '08/29/13 16:03:50', '08/29/13 16:04:10', '08/29/13 16:04:40', '08/29/13 16:05:10', '08/29/13 16:05:40', '08/29/13 16:06:00', '08/29/13 16:06:30', '08/29/13 16:07:00', '08/29/13 16:07:30', '08/29/13 16:07:50', '08/29/13 16:08:20', '08/29/13 16:08:50', '08/29/13 16:09:20', '08/29/13 16:09:50']"
