,0
"(65, 54)",2561
"(54, 63)",1665
"(58, 50)",4042
"(61, 71)",2630
"(66, 50)",4306
"(77, 71)",1024
"(42, 59)",3168
"(62, 62)",0
"(65, 77)",2928
"(67, 49)",3369
"(70, 46)",3650
"(55, 69)",2597
"(50, 58)",3221
"(71, 69)",1987
"(58, 74)",3233
"(4, 2)",928
"(46, 54)",2440
"(51, 41)",1577
"(16, 5)",1996
"(54, 54)",0
"(58, 61)",3374
"(61, 64)",283
"(34, 34)",0
"(55, 45)",1155
"(77, 64)",1584
"(10, 11)",229
"(67, 54)",3852
"(55, 66)",3177
"(64, 74)",1990
"(71, 66)",3061
"(4, 9)",2240
"(46, 57)",2231
"(29, 31)",911
"(51, 46)",1627
"(65, 66)",1945
"(39, 77)",926
"(55, 42)",1430
"(59, 47)",1958
"(42, 45)",711
"(67, 63)",2789
"(64, 65)",1769
"(67, 69)",2760
"(71, 59)",1970
"(75, 60)",2105
"(46, 64)",3276
"(51, 55)",444
"(61, 82)",2851
"(62, 64)",457
"(23, 26)",813
"(64, 41)",2197
"(63, 48)",2295
"(50, 39)",2006
"(71, 48)",2567
"(46, 75)",1155
"(51, 60)",2033
"(62, 75)",944
"(55, 56)",619
"(59, 61)",3411
"(49, 71)",2662
"(38, 35)",3488
"(63, 57)",887
"(14, 8)",2179
"(71, 41)",1496
"(75, 42)",902
"(26, 23)",813
"(46, 82)",738
"(47, 64)",1318
"(2, 12)",2040
"(47, 49)",1612
"(30, 27)",2032
"(56, 39)",1396
"(55, 49)",530
"(59, 50)",3010
"(64, 39)",2521
"(50, 70)",2770
"(74, 64)",1990
"(75, 82)",1505
"(11, 4)",1056
"(68, 51)",2068
"(72, 54)",3863
"(39, 57)",394
"(22, 83)",1169
"(7, 80)",3379
"(47, 73)",1175
"(68, 66)",2391
"(2, 7)",1679
"(5, 10)",1344
"(47, 62)",860
"(56, 46)",1124
"(59, 75)",2356
"(64, 62)",457
"(50, 65)",3664
"(31, 33)",1183
"(35, 34)",209
"(74, 75)",564
"(75, 75)",0
"(60, 42)",1090
"(63, 47)",1214
"(68, 58)",2198
"(72, 61)",3377
"(39, 54)",2722
"(26, 25)",317
"(68, 73)",2764
"(69, 69)",0
"(32, 29)",3852
"(76, 57)",907
"(59, 64)",3122
"(75, 64)",1428
"(8, 7)",674
"(65, 42)",4067
"(39, 47)",769
"(48, 61)",2749
"(56, 77)",470
