Trip ID,Duration,Start Date
4776,560,8/29/2013 17:09
4778,1849,8/29/2013 17:09
4777,585,8/29/2013 17:09
4780,948,8/29/2013 17:11
4779,492,8/29/2013 17:11
4787,479,8/29/2013 17:12
4781,908,8/29/2013 17:12
4782,626,8/29/2013 17:12
4783,438,8/29/2013 17:13
4785,361,8/29/2013 17:13
4784,430,8/29/2013 17:13
4786,362,8/29/2013 17:14
4788,563,8/29/2013 17:16
4790,989,8/29/2013 17:17
4799,267,8/29/2013 17:19
4798,188,8/29/2013 17:22
4795,621,8/29/2013 17:22
4797,677,8/29/2013 17:22
4796,305,8/29/2013 17:22
4801,265,8/29/2013 17:24
4803,764,8/29/2013 17:24
4804,878,8/29/2013 17:24
4805,336,8/29/2013 17:26
4806,663,8/29/2013 17:27
4808,572,8/29/2013 17:27
4809,489,8/29/2013 17:29
4812,186,8/29/2013 17:30
4810,419,8/29/2013 17:30
4813,1030,8/29/2013 17:31
4814,641,8/29/2013 17:32
4817,523,8/29/2013 17:33
4818,1177,8/29/2013 17:33
4819,1133,8/29/2013 17:34
4820,813,8/29/2013 17:35
4821,1109,8/29/2013 17:36
4822,343,8/29/2013 17:37
4823,733,8/29/2013 17:37
4825,1605,8/29/2013 17:38
4824,207,8/29/2013 17:38
4826,1098,8/29/2013 17:38
4827,1258,8/29/2013 17:38
4828,293,8/29/2013 17:41
4830,424,8/29/2013 17:42
4829,566,8/29/2013 17:42
4832,776,8/29/2013 17:44
4835,598,8/29/2013 17:45
4834,579,8/29/2013 17:45
4833,543,8/29/2013 17:45
4838,778,8/29/2013 17:46
4837,466,8/29/2013 17:46
4836,585,8/29/2013 17:46
4841,197,8/29/2013 17:48
4842,756,8/29/2013 17:48
4845,929,8/29/2013 17:50
4844,1970,8/29/2013 17:50
4843,1147,8/29/2013 17:50
4847,1088,8/29/2013 17:51
4846,867,8/29/2013 17:51
4849,450,8/29/2013 17:53
4850,327,8/29/2013 17:53
4848,642,8/29/2013 17:53
4853,849,8/29/2013 17:55
4851,783,8/29/2013 17:55
4852,1055,8/29/2013 17:55
4856,1159,8/29/2013 17:57
4854,209,8/29/2013 17:57
4855,214,8/29/2013 17:57
4857,844,8/29/2013 17:58
4858,845,8/29/2013 17:58
4859,482,8/29/2013 17:59
4860,472,8/29/2013 17:59
4861,1015,8/29/2013 18:00
4862,1015,8/29/2013 18:00
4865,570,8/29/2013 18:02
4864,614,8/29/2013 18:02
4866,1326,8/29/2013 18:03
4868,633,8/29/2013 18:04
4870,266,8/29/2013 18:06
4871,316,8/29/2013 18:06
4872,726,8/29/2013 18:06
4869,870,8/29/2013 18:06
4873,813,8/29/2013 18:07
4874,704,8/29/2013 18:07
4875,370,8/29/2013 18:08
4878,679,8/29/2013 18:09
4876,309,8/29/2013 18:09
4877,792,8/29/2013 18:09
4880,242,8/29/2013 18:10
4879,405,8/29/2013 18:10
4881,611,8/29/2013 18:11
4882,5776,8/29/2013 18:11
4883,378,8/29/2013 18:12
4884,5506,8/29/2013 18:12
4890,347,8/29/2013 18:13
