Trip ID,Duration,Start Date,End Date,Start Station Id,End Station Id,Day
4356,587,8/29/2013 12:18,8/29/2013 12:28,48,49,3
5086,587,8/29/2013 22:06,8/29/2013 22:16,3,13,3
4929,590,8/29/2013 18:55,8/29/2013 19:05,72,65,3
4581,591,8/29/2013 14:14,8/29/2013 14:24,45,50,3
4835,598,8/29/2013 17:45,8/29/2013 17:55,77,42,3
4531,601,8/29/2013 13:41,8/29/2013 13:51,39,59,3
4912,601,8/29/2013 18:39,8/29/2013 18:49,41,39,3
4706,606,8/29/2013 16:16,8/29/2013 16:26,50,48,3
4366,607,8/29/2013 12:24,8/29/2013 12:34,58,66,3
4398,607,8/29/2013 12:37,8/29/2013 12:47,66,76,3
4610,607,8/29/2013 14:44,8/29/2013 14:54,68,75,3
5017,607,8/29/2013 20:13,8/29/2013 20:24,67,71,3
4729,608,8/29/2013 16:36,8/29/2013 16:46,66,39,3
4379,610,8/29/2013 12:29,8/29/2013 12:39,11,11,3
4336,611,8/29/2013 12:12,8/29/2013 12:22,47,50,3
4628,611,8/29/2013 15:03,8/29/2013 15:13,70,68,3
4881,611,8/29/2013 18:11,8/29/2013 18:21,74,39,3
4728,612,8/29/2013 16:36,8/29/2013 16:46,66,39,3
4772,612,8/29/2013 17:07,8/29/2013 17:17,4,2,3
4864,614,8/29/2013 18:02,8/29/2013 18:13,47,73,3
4918,615,8/29/2013 18:46,8/29/2013 18:57,48,49,3
4410,620,8/29/2013 12:42,8/29/2013 12:53,41,75,3
4795,621,8/29/2013 17:22,8/29/2013 17:32,56,76,3
5008,623,8/29/2013 20:12,8/29/2013 20:22,6,9,3
4537,624,8/29/2013 13:45,8/29/2013 13:55,70,76,3
4626,624,8/29/2013 15:02,8/29/2013 15:13,70,68,3
4782,626,8/29/2013 17:12,8/29/2013 17:23,65,69,3
4428,627,8/29/2013 12:53,8/29/2013 13:04,50,47,3
4256,629,8/29/2013 11:32,8/29/2013 11:43,70,54,3
4868,633,8/29/2013 18:04,8/29/2013 18:15,67,77,3
4360,637,8/29/2013 12:21,8/29/2013 12:32,66,76,3
4724,637,8/29/2013 16:34,8/29/2013 16:44,66,57,3
4499,638,8/29/2013 13:25,8/29/2013 13:36,48,76,3
4889,638,8/29/2013 18:18,8/29/2013 18:29,63,64,3
4684,640,8/29/2013 15:58,8/29/2013 16:08,67,69,3
4814,641,8/29/2013 17:32,8/29/2013 17:43,71,50,3
4848,642,8/29/2013 17:53,8/29/2013 18:04,39,70,3
4937,642,8/29/2013 18:59,8/29/2013 19:10,71,68,3
5087,643,8/29/2013 22:07,8/29/2013 22:18,3,2,3
4885,644,8/29/2013 18:14,8/29/2013 18:25,66,69,3
5005,645,8/29/2013 20:06,8/29/2013 20:17,76,66,3
4462,646,8/29/2013 13:07,8/29/2013 13:18,42,75,3
4525,650,8/29/2013 13:39,8/29/2013 13:50,63,70,3
4543,650,8/29/2013 13:50,8/29/2013 14:00,45,45,3
